sample_id,target,ct
NO_46_B,N2,40
NO_46_B,N2,34.8281517
NO_46_C,N2,40
NO_46_C,N2,40
NO_46_C,N2,35.88721085
MI_46_A,N2,40
MI_46_A,N2,40
MI_46_A,N2,35.70278168
MI_46_B,N2,36.04050827
MI_46_B,N2,36.24633026
MI_46_B,N2,40
CC_46_A,N2,34.93347931
CC_46_A,N2,35.69757843
CC_46_A,N2,33.96050262
MI_46_C,N2,34.74722672
MI_46_C,N2,40
MI_46_C,N2,40
CC_46_B,N2,36.80232239
CC_46_B,N2,35.8759079
CC_46_B,N2,40
CC_46_C,N2,40
CC_46_C,N2,34.849617
CC_46_C,N2,34.46081543
NO_47_A,N2,40
NO_47_A,N2,40
NO_47_A,N2,40
CC_47_A,N2,40
CC_47_A,N2,40
CC_47_A,N2,40
NO_47_B,N2,35.43299866
NO_47_B,N2,40
NO_47_B,N2,40
CC_47_B,N2,35.61577225
CC_47_B,N2,40
CC_47_B,N2,40
NO_47_C,N2,34.06223679
NO_47_C,N2,40
NO_47_C,N2,36.61038971
CC_47_C,N2,37.09758759
CC_47_C,N2,40
CC_47_C,N2,40
MI_47_A,N2,35.89452362
MI_47_A,N2,40
MI_47_A,N2,40
MI_47_B,N2,35.97196579
MI_47_B,N2,40
MI_47_B,N2,40
MI_47_C,N2,40
MI_47_C,N2,40
MI_47_C,N2,35.29942322
NO_48_A,N2,40
NO_48_A,N2,40
NO_48_A,N2,40
NO_48_B,N2,37.04874802
NO_48_B,N2,36.18367004
NO_48_B,N2,40
NO_48_C,N2,40
NO_48_C,N2,35.51792145
NO_48_C,N2,40
MI_48_A,N2,40
MI_48_A,N2,35.61533356
MI_48_A,N2,40
MI_48_B,N2,40
MI_48_B,N2,40
MI_48_B,N2,35.16443253
CC_48_A,N2,40
CC_48_A,N2,35.55244446
CC_48_A,N2,40
MI_48_C,N2,40
MI_48_C,N2,35.31484985
MI_48_C,N2,40
CC_48_B,N2,40
CC_48_B,N2,40
CC_48_B,N2,40
CC_48_C,N2,40
CC_48_C,N2,40
CC_48_C,N2,40
NO_49_A,N2,40
NO_49_A,N2,40
NO_49_A,N2,40
CC_49_A,N2,35.97500229
CC_49_A,N2,40
CC_49_A,N2,37.0591774
NO_49_B,N2,40
NO_49_B,N2,40
NO_49_B,N2,40
CC_49_B,N2,40
CC_49_B,N2,40
CC_49_B,N2,36.11138535
NO_49_C,N2,40
NO_49_C,N2,40
NO_49_C,N2,40
CC_49_C,N2,40
CC_49_C,N2,40
CC_49_C,N2,40
MI_49_A,N2,40
MI_49_A,N2,40
MI_49_A,N2,40
MI_49_B,N2,40
MI_49_B,N2,40
MI_49_B,N2,40
MI_49_C,N2,40
MI_49_C,N2,40
MI_49_C,N2,40
NO_50_A,N2,40
NO_50_A,N2,40
NO_50_A,N2,40
NO_50_B,N2,36.65693665
NO_50_B,N2,37.02328491
NO_50_B,N2,40
NO_50_C,N2,40
NO_50_C,N2,40
NO_50_C,N2,40
MI_50_A,N2,40
MI_50_A,N2,40
MI_50_A,N2,40
MI_50_B,N2,40
MI_50_B,N2,40
MI_50_B,N2,40
MI_50_C,N2,40
MI_50_C,N2,40
MI_50_C,N2,40
CC_50_A,N2,40
CC_50_A,N2,36.0704155
CC_50_A,N2,35.27446747
CC_50_B,N2,40
CC_50_B,N2,35.24320221
CC_50_B,N2,35.37814713
CC_50_C,N2,37.05826187
CC_50_C,N2,40
CC_50_C,N2,40
NO_51_A,N2,40
NO_51_A,N2,40
NO_51_A,N2,40
NO_51_B,N2,40
NO_51_B,N2,40
NO_51_B,N2,34.82762146
